player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,KC,18,12,1,100,0,4,16,29.1,62.2,30.8,65.6,73,28,6,32,0,37,26.9,14,0,6,118.8,8,8,5,0,37,789,783,0,1,780,2,0,6,502,250,1,26,26,8,46,0,136,101,17
Mike Adams,1972,S,HST,6,1,0,75,0,0,13,66.9,73.1,82.4,,78.8,85,0,0,0,8,0,0,0,0,124,3,0,28,4,96,142,8,0,0,8,0,93,134,0,46,9,4,7,4,0,2,19,17,6.3
Thomas Davis Sr.,2231,LB,LAC,16,26,0,73.2,0,0,27,55.7,61.7,33.9,71.5,67.4,47.9,0,1,0,27,15.2,19,2,3,92,52,2,763,1,402,805,8,0,0,8,0,4,797,19,384,29,39,80,71,3,1,412,307,7.9
Lorenzo Alexander,2476,ED,BUF,17,10,4,88.2,0,1,4,66.3,64.3,67.3,68.4,52.7,65.1,7,21,0,15,8.7,4,2,1,113,15,3,218,1,92,517,281,0,1,280,0,1,236,224,201,15,16,32,17,31,1,109,67,7.3
Johnathan Joseph,2969,CB,HST,14,4,0,61.5,2,0,13,65,64,86,75.9,48.7,37.2,0,0,1,60,19.4,12,11,3,90.1,48,0,42,535,412,622,1,0,0,1,0,0,621,2,208,44,11,46,78,0,2,627,210,13.1
Domata Peko Sr.,3068,DI,BLT,8,3,0,,0,0,3,61.7,58.7,45.1,55.4,61.8,36.2,0,7,0,,12.5,2,0,1,0,0,0,0,0,2,158,158,68,71,2,17,0,0,65,91,0,7,11,0,7,0,0,0,
Antoine Bethea,3152,S,NYG,16,15,0,69.2,0,0,21,62.4,69.3,86.8,63.1,81.2,70.3,0,0,1,45,11.4,13,5,1,135.4,18,0,239,4,650,1107,9,0,0,9,0,804,1098,7,450,51,18,86,26,0,5,340,137,18.9
Tramon Williams,3558,CB,GB,18,10,0,63.5,0,0,12,78,71.7,36.2,54.3,45.4,69.6,1,1,2,61,10.6,5,5,5,86.5,40,0,81,181,539,822,3,0,0,3,0,10,819,10,273,547,11,32,63,2,2,517,239,12.9
Eric Weddle,3653,S,LA,16,21,0,75,1,0,26,70.5,69,66.8,73,63.4,79.7,1,2,0,18,7.3,8,2,2,128,21,0,270,2,614,1031,21,0,0,21,0,617,1010,6,411,121,19,80,28,3,3,186,138,8.9
Brandon Mebane,3701,DI,LAC,13,5,0,,0,0,27,60.1,48.7,72.8,48.2,51.7,45.2,1,6,0,,15.4,4,0,1,0,0,1,0,0,0,408,408,328,80,0,0,0,0,208,200,0,12,17,0,8,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,0,85.7,0,0,32,41.5,42.6,77.7,,51.3,32.2,0,0,0,16,25,2,0,0,106,6,0,4,51,33,62,0,0,0,0,0,0,62,0,29,7,0,5,7,0,0,66,20,11
Aqib Talib,4334,CB,LA,5,2,0,52,2,0,26,55.8,55.4,82.7,,52.4,33.2,0,0,0,30,27.8,5,2,2,112.2,13,0,45,263,205,334,1,0,0,1,0,3,333,0,129,22,2,11,25,0,3,163,41,12.5
Calais Campbell,4364,DI,JAX,16,11,1,,0,2,15,69.4,90.3,35.7,81.4,90.6,29.6,19,46,0,,20,13,0,8,0,0,7,14,0,2,818,804,40,165,321,278,0,14,515,301,0,35,41,0,72,0,0,0,
