player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Brandon Carr,4454,CB,BLT,17,2,0,62.7,1,0,3,66,66.4,86.3,66.2,58.9,53.8,7,6,0,33,16.4,9,4,3,102.1,37,2,166,206,501,764,19,0,0,19,0,103,745,36,227,270,16,44,59,15,4,356,143,9.6
Orlando Scandrick,4457,CB,PHI,3,0,0,50,0,2,24,64.3,91.7,78.2,99.9,73.8,56.4,0,1,0,15,16.7,1,0,0,61.5,2,2,7,1,56,83,3,0,0,3,0,3,80,5,22,69,5,5,4,3,0,17,4,8.5
Matthew Slater,4467,WR,NE,3,0,0,0,0,0,19,47.9,44.4,65.8,,,,0,0,0,,,0,0,0,39.6,0,0,0,0,3,3,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,
Wesley Woodyard,4583,LB,TEN,17,8,0,92.3,0,1,31,49.4,54,82.5,57.4,62.7,51.2,1,3,0,46,12.3,7,1,0,128.4,24,1,357,12,242,416,21,0,0,21,0,5,395,31,143,20,19,42,26,5,1,305,182,12.7
Cameron Wake,4907,ED,TEN,9,0,1,,0,0,31,60.2,83.5,86.4,77.8,65.3,44.6,8,20,0,,50,1,0,0,0,0,3,0,0,2,195,195,0,3,178,14,0,0,181,12,0,3,1,0,31,0,0,0,
Malcolm Jenkins,4937,S,PHI,17,11,0,61.5,1,4,24,67.9,69.2,39.7,68.9,71.1,71.5,7,6,0,53,10.1,9,6,4,90.1,32,6,432,12,633,1075,158,0,0,158,0,207,917,79,363,266,34,69,52,19,1,378,174,11.8
Clay Matthews,4949,ED,LA,13,7,2,88.9,0,2,26,30.9,54.5,63.1,63.6,57.6,31.3,6,28,0,19,27.3,12,0,3,104.6,8,8,18,0,69,614,580,0,0,580,0,0,34,292,253,16,17,25,9,42,0,82,35,10.3
Patrick Chung,4957,S,NE,14,12,0,70.5,1,0,19,56.5,55.5,84.9,48,55.5,63.7,0,2,0,33,10,6,3,1,99.4,31,0,332,48,384,654,115,0,0,115,0,30,539,40,230,129,17,42,44,2,1,328,169,10.6
Jason McCourty,5127,CB,NE,12,2,0,57.1,0,0,19,77.6,73.8,15.7,53.4,60.7,78.3,0,0,1,45,5,2,3,4,63.3,28,0,33,262,330,474,17,0,0,17,0,5,457,3,141,157,20,36,49,0,0,260,91,9.3
Clinton McDonald,5173,DI,ARZ,9,2,0,,1,0,1,58.3,45.7,35.5,56.3,45.9,51.4,0,4,0,,11.1,1,0,1,0,0,0,1,0,2,122,121,2,84,9,26,0,1,80,40,0,3,6,0,4,0,0,0,
Steve McLendon,5232,DI,NYJ,16,5,0,,0,0,22,64.7,81.3,56.9,67.8,81.4,70.8,4,12,0,,3,1,0,2,0,0,3,0,0,1,465,464,165,220,2,77,0,1,238,226,0,23,27,0,19,0,0,0,
Michael Bennett,5273,ED,DAL,15,4,0,,1,0,9,65.3,65.7,3.4,62,78.4,41.1,9,26,0,,17.9,5,0,8,0,0,7,0,0,6,559,559,23,74,263,199,0,0,386,167,0,22,19,0,42,0,0,0,
Ndamukong Suh,5527,DI,TB,16,11,2,,0,0,30,69.3,69.6,45.9,60.3,74.3,47,10,26,0,,9.3,4,1,5,0,0,3,6,0,2,874,868,29,517,58,264,0,6,614,258,0,25,28,0,39,0,0,0,
Gerald McCoy,5528,DI,CAR,16,8,2,,0,0,5,,72.4,11.4,69.4,77,40.5,8,27,0,,17.1,6,0,8,0,0,8,0,0,0,696,695,84,362,43,206,0,1,422,274,0,25,21,0,43,0,0,0,
Joe Haden,5532,CB,PIT,16,3,0,53.2,0,1,25,71.3,70.3,86.9,56.2,60.6,48.8,0,0,5,23,15.4,12,10,3,70,42,0,119,915,612,1055,0,0,0,0,0,0,1055,1,442,21,20,63,79,0,6,468,139,11.1
Tyson Alualu,5535,DI,PIT,16,16,2,,1,1,25,63.8,80.1,53.3,68.2,79.9,36.9,2,13,0,,14.3,6,0,2,0,0,1,4,0,0,432,428,11,192,29,196,0,4,215,217,0,16,20,0,16,0,0,0,
Brandon Graham,5538,ED,PHI,17,7,0,,0,1,24,71.2,84.2,75.2,72.6,77.1,43.2,11,48,0,,16,8,0,2,0,0,9,2,0,13,811,809,1,37,634,137,0,2,533,265,0,38,35,0,68,0,0,0,
Earl Thomas III,5539,S,BLT,16,15,0,42.9,0,1,3,86.1,76.9,43.5,67.4,53.2,55,3,9,2,34,16.7,11,1,3,47.9,6,3,264,25,561,942,63,0,0,63,0,519,879,62,319,71,14,40,14,15,1,87,15,14.5
Jason Pierre-Paul,5540,ED,TB,10,2,3,100,1,2,30,42.7,66.7,21.8,67.8,74.3,48.1,7,28,0,11,25,6,0,6,98.6,3,9,18,0,11,586,566,0,16,520,30,0,20,407,168,2,22,16,3,44,0,23,9,7.7
Kareem Jackson,5545,S,DEN,13,16,0,65.1,0,1,10,79.8,82.3,91.8,71.8,79.1,60,0,1,2,54,13.6,11,9,1,96.2,28,0,220,10,514,842,2,0,0,2,0,414,840,3,325,196,24,54,43,1,3,371,179,13.3
Devin McCourty,5552,S,NE,17,8,0,61.3,0,2,19,88.2,80.8,65.7,52.2,65.3,70,0,4,5,26,10.3,7,2,1,41.8,19,0,343,39,624,1007,60,0,0,60,0,467,947,18,365,98,13,53,31,4,1,130,94,6.8
Jerry Hughes,5556,ED,BUF,17,5,1,0,0,0,4,70.1,73.4,36.8,74.5,62.6,28.5,7,40,0,,30.8,8,0,6,39.6,0,7,2,0,15,707,705,0,4,667,34,0,2,457,235,0,16,13,2,54,0,0,0,
Patrick Robinson,5557,S,NO,9,3,0,65.2,0,0,20,61.7,59.1,83,53.7,51.1,65.1,1,2,0,43,10,2,3,0,104.6,15,0,15,32,114,173,38,0,0,38,0,1,135,23,36,87,4,15,23,3,1,186,64,12.4
Linval Joseph,5571,DI,MIN,15,16,0,,0,0,18,83.5,69.5,79.1,62.9,66.3,73.4,3,12,0,,2,1,0,1,0,0,3,0,0,3,644,643,446,188,0,9,0,1,347,294,0,26,33,0,18,0,0,0,
Carlos Dunlap,5579,ED,CIN,14,15,4,100,0,2,7,63.6,89.7,82.7,77.8,89,82.8,13,28,0,22,3.7,2,0,1,112.5,5,10,3,0,39,739,735,0,8,714,13,0,4,387,313,1,36,37,5,51,0,55,41,11
Sean Lee,5580,LB,DAL,16,14,0,83.9,0,0,9,64.6,61.5,81.9,61.5,55.5,53.4,0,3,1,30,12.5,11,3,0,100.1,47,1,500,2,323,637,52,0,0,52,0,1,585,30,284,82,29,63,56,4,2,389,273,8.3
Morgan Burnett,5596,S,CLV,8,15,0,63.2,0,0,8,58.2,68,38,75.1,80.8,76.3,0,6,1,26,9.3,4,1,1,63.5,12,2,150,14,200,367,34,0,0,33,1,116,333,14,153,53,10,24,19,8,0,140,54,11.7
Earl Mitchell,5605,DI,SF,3,0,0,,1,0,28,,36.3,0,63.7,34.6,69.8,0,1,0,,0,0,0,1,0,0,1,0,0,0,42,42,7,34,0,1,0,0,27,15,0,0,1,0,2,0,0,0,
Corey Peters,5607,DI,ARZ,16,7,0,,0,0,1,52.9,65,61,58,72.1,57.6,2,21,0,,10.3,4,0,3,0,0,3,0,0,6,805,805,244,497,0,64,0,0,493,306,0,25,28,0,26,0,0,0,
Everson Griffen,5624,ED,MIN,17,8,0,100,0,0,18,73.3,76,34.9,76.6,63.3,38.5,15,44,1,6,21.3,10,1,8,52.1,1,11,3,0,22,956,952,0,5,818,129,0,4,596,338,0,30,29,1,70,0,6,1,6
Geno Atkins,5643,DI,CIN,16,14,0,,0,0,7,55.5,76.2,69.8,74.4,71,57.9,6,42,0,,6.5,3,0,2,0,0,5,6,0,3,817,811,61,689,5,56,0,6,480,334,0,28,29,0,53,0,0,0,
Al Woods,5646,DI,SEA,14,9,0,0,1,0,29,69.6,70.3,42.1,56.5,77.7,60.2,0,10,0,,10.3,3,0,3,39.6,0,1,2,0,0,450,448,112,330,1,5,0,2,249,201,0,13,17,1,11,0,0,0,
Sherrick McManis,5667,CB,CHI,8,0,0,100,0,1,6,93.2,93.8,72.9,59.4,60,80,0,0,0,4,0,0,1,0,79.2,3,0,7,5,22,26,0,0,0,0,0,8,26,1,3,6,1,3,3,0,0,9,10,3
Reshad Jones,5686,S,MIA,4,9,0,75,1,0,17,66.2,72.3,80.5,53.8,75.4,79.7,0,1,0,18,3.4,1,1,1,141.1,6,0,78,12,75,189,49,0,0,49,0,17,140,8,106,33,8,19,8,1,2,71,44,11.8
Kurt Coleman,5767,LB,BUF,6,0,0,0,0,0,4,61.3,64.2,0,56,77.1,75.5,0,0,0,,0,0,0,1,39.6,0,0,27,1,35,70,14,0,0,14,0,24,56,3,32,4,1,2,1,0,0,0,0,
Kyle Love,5806,DI,CAR,15,2,2,,1,0,5,60,49.5,51.7,63.7,41.9,47.1,2,16,0,,22.2,2,0,2,0,0,0,0,0,0,412,412,66,251,9,86,0,0,233,179,0,5,5,0,18,0,0,0,
Darian Stewart,5820,S,TB,8,0,0,60,0,0,30,54.4,53.1,0.6,59.5,61.4,29.1,1,1,0,19,30.8,4,1,1,82.9,3,0,60,3,103,169,13,0,0,13,0,83,156,7,59,10,2,9,5,2,0,37,20,12.3
Tramaine Brock Sr.,5903,CB,TEN,17,2,1,62.2,1,0,31,73.9,70.6,44.7,70,52.5,58.4,2,2,0,52,13.9,10,8,5,98.9,51,0,65,527,618,936,21,0,0,21,0,4,915,18,300,319,23,60,82,4,4,565,249,11.1
Anthony Levine,6013,S,BLT,14,0,0,90.9,0,0,3,52.6,48.9,83.8,72.2,24.7,27,3,3,0,26,10,1,0,0,108.7,10,0,88,17,122,167,42,0,0,42,0,5,125,33,12,15,4,9,11,6,0,111,54,11.1
Marcus Sherels,6017,CB,MIN,1,0,0,,0,0,18,,60,64.4,,60,,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
Albert McClellan,6022,LB,NYJ,1,2,0,33.3,0,0,22,27.8,27.5,72.2,54.1,52.4,79.5,0,0,0,23,0,0,0,0,61.8,1,0,25,1,11,28,0,0,0,0,0,0,28,3,14,2,1,2,3,0,0,23,18,23
Andrew Sendejo,6118,S,MIN,15,8,0,72.7,0,0,18,74.9,71.3,9.3,70.6,57.1,53.9,1,0,3,48,17.4,8,2,2,91.1,16,1,114,2,310,437,16,0,0,16,0,194,421,12,115,111,9,30,22,2,2,199,85,12.4
Von Miller,6154,ED,DEN,15,9,1,100,1,0,10,56.7,79.3,25.9,71.4,90,66.7,10,58,0,19,7.5,3,0,8,116.7,3,9,5,1,46,833,806,0,0,806,0,0,27,473,314,21,27,28,3,77,0,36,25,12
Marcell Dareus,6155,DI,JAX,6,3,1,,0,0,15,60,62.7,83.7,53,68.8,59.5,0,3,0,,13.3,2,0,0,0,0,1,2,0,0,206,204,31,151,1,21,0,2,113,93,0,7,10,0,4,0,0,0,
Patrick Peterson,6157,CB,ARZ,10,8,0,67.2,0,1,1,64.3,68.6,87.1,82,79.6,74.8,0,0,2,37,7,4,4,3,104.6,39,1,36,590,446,696,2,0,0,2,0,0,694,3,247,68,12,45,58,1,4,527,217,13.5
J.J. Watt,6163,ED,HST,10,3,4,,0,1,13,67.1,87,21.3,88.9,69.9,57.1,17,38,0,,18.2,4,0,6,0,0,6,2,0,1,554,551,0,9,381,161,0,3,392,161,1,15,15,0,61,0,0,0,
Robert Quinn,6166,ED,DAL,14,5,2,0,2,2,9,55.2,68.5,43.5,78.3,53.4,36.7,12,33,0,,20.8,5,0,5,39.6,0,12,0,0,2,647,646,0,2,614,30,0,1,404,241,1,18,14,2,57,0,0,0,
Ryan Kerrigan,6168,ED,WAS,12,3,1,100,1,1,32,40.4,63,67.7,73.2,55,29.9,7,23,0,15,22.7,5,0,2,154.9,6,7,13,0,46,642,614,0,2,604,8,0,28,305,291,15,14,14,6,37,1,70,39,11.7
Corey Liuget,6170,DI,BUF,11,3,0,,1,0,4,65.9,67.2,5.8,60.6,73.9,63.2,1,1,0,,6.3,1,0,3,0,0,1,0,0,2,200,200,41,129,15,15,0,0,108,90,0,13,12,0,3,0,0,0,
Prince Amukamara,6171,CB,CHI,15,2,0,62.1,2,1,6,69.6,67.5,23.3,60,62.8,75.5,0,0,0,75,7,4,4,5,102.3,36,0,50,799,566,891,22,0,0,22,0,1,869,1,324,18,12,51,58,0,2,515,176,14.3
Adrian Clayborn,6172,ED,ATL,15,3,0,100,0,2,2,48.6,71.7,59.3,76.6,57.2,53.3,5,39,0,16,12.5,2,0,2,118.8,1,4,2,0,9,439,437,0,24,335,78,0,2,322,108,0,12,11,1,48,0,16,12,16
Cameron Jordan,6176,ED,NO,17,10,2,50,1,0,20,58.1,86.9,52.2,83.1,79.3,49.2,8,59,0,35,21.3,10,0,5,135.4,2,17,6,0,13,950,944,3,19,890,32,0,6,626,311,0,33,27,4,84,1,63,31,31.5
Jimmy Smith,6179,CB,BLT,10,1,0,49,0,0,3,66.6,67.9,42.1,83.4,70.5,81.7,0,0,1,41,3.3,1,4,4,62.8,24,1,9,388,287,421,0,0,0,0,0,0,421,1,133,24,8,28,49,1,1,254,73,10.6
Cameron Heyward,6183,DI,PIT,16,25,5,0,0,1,25,67.3,91.5,79.1,84,90.3,73.3,14,36,0,,4.9,4,1,1,39.6,0,10,38,0,0,873,835,45,467,80,243,0,38,505,368,0,44,52,1,60,0,0,0,
Jabaal Sheard,6189,ED,IND,13,3,0,66.7,0,0,14,67.4,61.2,90,63.5,47.7,30.1,5,32,0,9,25,7,1,0,71.5,2,5,0,2,10,569,567,0,28,438,101,0,2,378,181,0,20,18,3,42,0,10,11,5
Brooks Reed,6194,ED,ARZ,9,0,0,50,0,0,1,51.5,53.2,80,57.4,53.8,38.9,0,2,0,7,20,1,0,0,58.3,1,1,1,1,8,78,74,0,1,73,0,0,4,40,30,2,3,4,2,3,0,7,2,7
Marcus Gilchrist,6202,S,JAX,3,0,0,50,0,0,15,59.2,55.2,77.8,60,52.1,31.9,0,0,0,8,33.3,1,0,0,60.4,1,0,2,0,48,54,0,0,0,0,0,46,54,1,5,6,0,2,2,0,0,8,8,8
Terrell McClain,6217,DI,OAK,5,2,0,,0,0,23,,43.8,79.5,68.2,35,28.2,0,2,0,,28.6,2,0,0,0,0,0,0,0,0,61,61,21,38,0,2,0,0,32,29,0,2,3,0,2,0,0,0,
Justin Houston,6222,ED,IND,16,9,0,100,0,2,14,71.2,87.1,73.7,81.9,71,69.2,9,40,0,13,5.6,2,0,2,118.8,1,11,2,3,20,674,669,1,4,638,26,0,5,458,196,0,32,25,1,60,0,13,0,13
Jurrell Casey,6229,DI,TEN,17,17,0,,0,2,31,52.5,74.5,70.9,64.6,78.2,63.7,5,29,0,,8.3,4,0,2,0,0,8,89,0,4,872,783,54,398,200,131,0,89,576,292,0,30,27,0,42,0,0,0,
Allen Bailey,6238,DI,ATL,15,6,0,,0,0,2,63.9,64.1,73.7,63.4,59.7,26.9,1,12,0,,32.3,10,0,1,0,0,1,1,0,3,511,510,9,216,121,164,0,1,262,246,0,14,15,0,14,0,0,0,
K.J. Wright,6251,LB,SEA,18,33,0,72,0,0,29,53.9,59.9,86,59.5,65.8,80.5,1,7,3,36,6.3,9,8,1,94.2,77,1,818,19,636,1110,127,0,0,127,0,2,983,53,421,144,48,100,107,9,5,725,433,9.4
Sam Acho,6255,ED,TB,6,0,0,,0,1,30,60.7,73.8,76.9,67,63.7,72.4,0,1,0,,0,0,0,0,0,0,1,3,0,1,39,35,0,0,34,1,0,4,25,13,0,2,1,0,2,0,0,0,
Buster Skrine,6289,CB,CHI,16,7,0,65.9,1,2,6,59.1,59.8,86.5,72,52.3,35.9,2,3,0,50,20,12,3,1,100.3,54,0,25,15,492,727,9,0,0,9,0,1,718,28,207,676,12,41,82,5,4,532,208,9.9
Richard Sherman,6306,CB,SF,18,10,0,55.7,2,1,28,90.5,90.3,69,,78,80.8,0,1,5,65,5.3,4,6,9,45.3,34,0,99,918,681,1074,28,0,0,28,0,2,1046,0,393,27,20,61,61,1,1,373,123,11
Pernell McPhee,6317,ED,BLT,7,2,1,100,0,0,3,46,64.5,0,64.6,80.3,69.3,3,8,0,6,5.3,1,0,4,79.2,2,3,33,0,9,260,227,4,13,187,23,0,33,175,76,0,14,16,2,14,0,5,8,2.5
Colin Jones,6342,S,CAR,5,0,0,,0,0,5,67.8,68.9,74.3,,61.7,69.9,0,0,0,,0,0,0,0,0,0,0,3,1,6,14,4,0,0,4,0,1,10,0,8,4,0,1,0,0,0,0,0,
Lawrence Guy,6385,DI,NE,17,14,0,,0,0,19,61.5,66.7,75.2,60.5,65.4,68.3,3,15,1,,5.3,3,0,1,0,0,3,0,0,0,572,572,48,237,70,217,0,0,262,310,0,33,40,0,21,0,0,0,
Malcolm Smith,6394,LB,DAL,2,0,0,83.3,0,1,9,79.5,66,75.8,62.1,41.4,45.2,0,1,0,38,16.7,1,0,0,107.6,5,0,43,2,41,83,17,0,0,17,0,0,66,5,37,21,3,5,6,1,0,59,36,11.8
Chris Harris Jr.,6457,CB,DEN,16,3,0,69.1,1,1,10,66.8,69.9,68.3,58.6,82.8,77.9,0,0,1,57,5.2,3,6,6,109.4,47,0,51,936,638,1044,5,0,0,5,0,11,1039,1,405,41,12,52,68,0,3,672,215,14.3
Josh Bynes,6503,LB,BLT,13,16,0,66.7,0,0,3,74.2,80,39.8,55.2,80.3,60.3,1,3,2,24,11.1,6,2,1,46.1,12,1,410,5,176,428,8,0,0,8,0,0,420,38,214,5,21,32,18,5,0,121,99,10.1
Mario Addison,6558,ED,CAR,15,5,0,0,1,1,5,53.9,63.4,51.7,67.7,57.7,71.7,6,32,0,,8.3,2,0,4,39.6,0,11,41,0,23,729,687,0,8,663,16,0,42,430,276,1,16,17,1,49,0,0,0,
Craig Robertson,7003,LB,NO,7,5,0,89.5,0,0,20,63,54.4,82.8,60.7,39.3,40.9,1,2,1,20,13.8,4,0,0,96.7,17,1,165,6,114,211,31,0,0,31,0,0,180,38,59,9,11,20,19,4,1,157,80,9.2
Morris Claiborne,7012,CB,KC,8,3,0,57.1,1,0,16,63.5,63.9,6.7,,72.2,57.9,0,0,0,19,7.1,1,1,3,74.1,4,0,20,171,120,198,1,0,0,1,0,0,197,0,78,6,2,10,7,0,0,41,14,10.3
Mark Barron,7013,LB,PIT,15,10,0,80.3,1,0,25,54,57.5,85.8,62.2,60.1,60.6,0,6,1,30,11.1,9,2,4,102.6,61,4,563,13,420,750,83,0,0,83,0,2,667,53,277,89,24,62,76,10,2,596,399,9.8
Luke Kuechly,7015,LB,CAR,16,31,0,73.6,0,0,5,82.7,85.4,87.6,55.6,81.9,86.6,5,1,2,48,4.3,6,10,1,87.3,53,0,957,0,635,1064,27,0,0,27,0,20,1037,26,403,59,54,103,72,6,1,532,303,10
Stephon Gilmore,7016,CB,NE,17,4,0,49.5,1,0,19,85.4,82.7,69,,59.9,55.9,0,0,6,53,11.7,7,13,6,48,48,0,18,821,648,1006,7,0,0,7,0,4,999,0,358,156,9,49,97,0,1,628,218,13.1
Dontari Poe,7017,DI,CAR,11,2,0,,0,0,5,63.8,71.1,69.3,63.6,69.9,63.9,2,11,0,,6.3,1,0,1,0,0,4,0,0,0,402,401,111,235,0,55,0,1,237,165,0,13,13,0,17,0,0,0,
Fletcher Cox,7018,DI,PHI,17,11,0,0,0,4,24,58.2,89.5,89.1,85.6,76.3,49.2,11,45,0,,12.8,6,1,0,39.6,0,4,1,0,9,849,848,94,564,16,174,0,1,560,280,0,23,30,1,60,0,0,0,
Michael Brockers,7020,DI,LA,16,13,1,100,0,0,26,67.2,74.7,58.2,57.3,82.6,57.2,7,25,0,-4,7.9,5,0,3,79.2,1,4,0,0,0,766,766,62,200,99,405,0,0,438,328,0,35,45,1,36,0,-4,4,-4
Bruce Irvin,7021,ED,CAR,13,5,0,100,1,1,5,70.9,62.9,66.8,62.6,57.2,46.4,8,20,0,30,12.9,4,0,2,118.8,2,8,5,0,34,608,593,0,16,575,2,0,15,345,229,10,24,22,2,36,0,33,34,16.5
Dre Kirkpatrick,7023,CB,CIN,6,3,0,65.5,0,0,7,61.2,61.7,0,83.9,67,59.3,0,0,0,43,13.9,5,2,2,126.5,19,1,38,255,171,334,5,0,0,5,0,8,329,1,162,28,11,28,29,1,3,246,140,12.9
Melvin Ingram III,7024,ED,LAC,13,4,3,,1,0,27,81.2,74.7,38.9,75.6,62.2,59.8,4,35,1,,11.1,5,0,4,0,0,8,61,1,41,668,604,0,2,601,1,1,64,375,252,1,32,36,0,47,0,0,0,
Chandler Jones,7027,ED,ARZ,16,5,4,100,0,8,1,56.1,86,45.2,90,71,46,7,49,0,25,24.5,12,0,6,146.7,7,19,19,1,63,1069,1041,0,5,1033,3,0,28,614,392,8,39,32,7,75,1,68,61,9.7
Dont'a Hightower,7030,LB,NE,16,19,0,75.9,0,0,19,72.4,71.3,72.1,63.4,67.1,61.1,8,20,0,25,11.6,10,3,1,118,22,7,488,0,203,783,273,0,1,272,0,2,510,285,295,20,36,57,29,35,2,207,157,9.4
Whitney Mercilus,7031,ED,HST,18,11,0,60,2,5,13,62.3,63.7,73.2,59.5,65.8,37.2,10,38,2,25,23.1,12,0,2,89.6,3,9,26,1,47,1073,1040,0,0,1039,1,0,33,668,358,6,30,29,5,57,1,45,30,15
Derek Wolfe,7040,DI,DEN,12,9,1,100,0,1,10,60.1,68.3,35.1,67.7,68.1,59.7,6,9,0,20,8.8,3,0,4,118.8,1,7,0,0,1,523,523,10,348,40,125,0,0,288,234,0,22,22,1,22,0,20,16,20
Jackrabbit Jenkins,7043,CB,NO,16,7,0,57.6,1,1,20,68.6,69.6,68.2,65.5,70.1,54.3,0,2,5,55,16,12,10,8,72.5,49,1,99,798,617,1042,10,0,0,10,0,0,1032,7,418,135,18,56,85,3,4,637,175,13
Mychal Kendricks,7049,LB,SEA,14,12,2,83.7,0,0,29,59.6,62.7,53.9,75.3,59.4,32.5,0,14,1,49,21.8,17,1,3,108,41,3,68,19,284,649,346,0,0,346,0,0,303,84,281,216,26,49,49,17,2,426,326,10.4
Bobby Wagner,7050,LB,SEA,18,42,1,82.7,1,1,29,65.7,76.4,68.8,83.2,78.7,88.4,3,9,1,35,4.8,8,5,2,112.5,62,3,1074,5,666,1181,12,0,0,12,0,11,1169,91,424,79,52,117,75,15,3,685,450,11
Tavon Wilson,7051,S,DET,16,14,0,78.6,2,0,11,74,71.9,24.4,59.4,71.1,67.9,2,0,0,51,10.5,10,5,4,103,33,1,446,44,478,840,95,0,0,95,0,158,745,28,334,97,30,71,42,3,1,286,169,8.7
Zach Brown,7055,LB,PHI,6,9,0,75,0,0,24,51.5,54.7,28.2,55.7,63.3,66,1,3,0,22,8.8,3,1,2,98.4,12,0,232,1,137,268,28,0,0,28,0,0,240,16,115,7,13,22,16,4,0,130,95,10.8
Lavonte David,7060,LB,TB,16,35,1,73.6,0,3,30,91.1,88.2,87.3,53.9,72.6,74.8,6,11,1,75,7.7,10,4,1,96.8,64,1,856,23,682,1124,121,0,0,121,0,2,1003,99,343,122,54,85,87,18,2,637,398,10
