player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Eric Weddle,3653,S,LA,4,6,0,50,0,0,26,67.2,75,1.1,,91,87.7,0,0,0,16,0,0,0,1,105.2,4,0,82,1,146,192,3,0,0,3,0,68,189,0,46,38,8,13,8,0,1,42,23,10.5
DeSean Jackson,4363,WR,LV,1,0,0,,0,0,23,,60,60,,60,,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Calais Campbell,4364,DI,BLT,15,12,1,,1,0,3,70,80.8,87.5,69.5,77.9,52.5,11,19,0,,9.8,5,0,1,0,0,1,2,0,1,615,613,97,230,67,219,0,2,423,191,0,24,34,0,31,0,0,0,
Matthew Slater,4467,WR,NE,1,0,0,,0,0,19,60.7,70.2,60,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,16,17,0,70.4,0,1,20,60.8,64.5,89,57.3,70.6,62.5,1,3,1,31,11.8,11,4,2,92.2,38,1,295,48,629,1042,143,0,0,143,0,330,899,50,363,226,27,65,54,5,2,348,164,9.2
Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,25,16,4,3,0,114.6,10,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,14,0,1,98,29,9.8
Steve McLendon,5232,DI,TB,14,3,1,,1,1,30,67.3,65.9,62.3,64,59.5,37.2,5,8,1,,15.4,2,0,1,0,0,1,1,0,5,296,295,21,218,1,55,0,1,196,95,0,7,8,0,14,0,0,0,
Ndamukong Suh,5527,DI,TB,19,10,1,100,0,1,30,57.7,52.4,50.3,54.3,57.1,49.3,9,27,0,5,15.6,5,0,4,87.5,1,7,4,0,9,798,794,10,394,48,342,0,4,564,225,0,18,17,1,43,0,5,2,5
Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,,48.2,73.2,55.2,53.3,,0,0,0,,,0,0,0,0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,
Joe Haden,5532,CB,PIT,13,11,0,67.3,0,1,25,64.2,62.1,85.8,,48,48.6,0,0,0,50,16.1,9,6,1,119.3,37,0,59,623,446,695,3,0,0,3,0,0,692,0,249,10,12,36,55,0,5,407,137,11
Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,,59.7,78.7,59.4,58.2,40.8,1,1,0,,16.7,1,0,0,0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,,62.6,79.9,60.6,61,25.6,1,1,0,,50,2,0,0,0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,0,2,0,0,0,
Jason Pierre-Paul,5540,ED,TB,14,7,4,100,0,1,30,65.6,45.3,46.5,52,38.6,57,4,21,0,24,16.2,6,0,4,134.2,10,4,14,0,55,699,680,0,8,661,11,0,19,444,200,5,15,24,10,29,1,82,56,8.2
Kareem Jackson,5545,S,DEN,15,11,0,75,0,0,10,48.5,52,93.5,61,56.8,50.6,0,0,1,23,17.1,18,1,0,111.8,24,1,254,2,531,895,3,0,0,3,0,528,892,2,362,108,15,76,32,1,3,223,106,9.3
Devin McCourty,5552,S,NE,18,18,0,50,0,0,19,74.7,75.4,88,52.3,74.9,73.8,0,1,3,33,9.3,7,8,0,31.8,12,0,203,14,620,1075,8,0,0,8,0,779,1067,6,449,70,2,50,24,1,0,159,63,13.3
Jerry Hughes,5556,ED,BUF,19,3,3,50,2,2,4,52.3,70.7,38.6,81.2,54.9,24.8,5,46,0,18,36.4,8,0,5,63.5,2,4,3,0,20,624,620,0,2,606,12,0,4,395,209,1,11,11,4,55,0,19,11,9.5
Linval Joseph,5571,DI,LAC,14,14,0,,1,0,27,67.1,63.4,60.9,83,49.8,61.4,1,14,0,,5,3,0,2,0,0,1,0,0,0,550,550,340,209,0,1,0,0,252,298,0,28,43,0,16,0,0,0,
Carlos Dunlap,5579,ED,SEA,17,4,6,100,0,1,29,59.9,72.1,64.7,68.5,72.8,83.4,5,20,0,12,0,0,0,2,87.5,4,10,0,0,44,482,474,0,2,467,5,0,8,309,129,8,20,22,4,35,0,20,11,5
Corey Peters,5607,DI,ARZ,15,3,1,,0,0,1,53.6,58,69.4,64.8,54.7,76.4,1,8,0,,0,0,0,1,0,0,0,2,0,6,399,397,91,289,1,16,0,2,188,205,0,16,22,0,9,0,0,0,
Andre Roberts,5612,WR,LAC,1,0,0,,0,0,27,60.7,70.2,60,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Everson Griffen,5624,ED,MIN,9,4,0,100,0,1,18,60.9,63.7,4.7,79,46,28,6,22,0,5,40,6,0,7,87.5,1,5,4,0,8,457,453,0,22,374,57,0,4,309,140,0,10,5,1,33,0,5,2,5
Al Woods,5646,DI,SEA,16,13,3,100,0,0,29,54.5,75.4,63.3,61.9,80.3,40.9,3,13,0,10,11.3,6,0,2,108.3,1,2,1,0,7,620,619,324,206,28,61,0,1,309,304,0,31,34,1,18,0,10,5,10
Anthony Levine,6013,S,BLT,3,0,0,83.3,0,0,3,38.9,44.3,75.9,51.7,73.2,77.6,0,0,0,52,0,0,1,0,118.8,5,0,18,3,21,32,5,0,0,5,0,0,27,4,7,5,1,4,6,0,0,79,29,15.8
Andrew Sendejo,6118,S,IND,12,6,0,43.8,3,1,14,65.1,62.9,55.8,55.5,57.4,50.2,0,1,0,31,20,9,3,3,95.8,7,0,123,5,399,610,27,0,0,27,0,401,583,11,200,53,8,30,16,1,3,68,31,9.7
Von Miller,6154,ED,LA,19,8,1,100,1,1,26,90.9,91.2,47.4,88.1,88.2,61.3,10,59,0,11,16.7,9,1,5,82.3,8,13,2,0,69,939,917,0,0,917,0,0,22,541,329,20,45,37,8,82,0,30,27,3.8
Patrick Peterson,6157,CB,MIN,13,5,0,57.8,0,0,18,61,63,88.3,,66.8,54.3,0,0,1,77,13.7,7,3,3,89,37,0,62,806,548,884,2,0,0,2,0,0,882,0,336,14,15,39,64,0,3,455,250,12.3
J.J. Watt,6163,DI,ARZ,8,6,2,,0,1,1,59.4,78.6,68.1,81,64.3,27.9,11,16,0,,25,6,0,1,0,0,1,3,0,5,365,362,9,127,81,145,0,3,228,132,0,13,12,0,28,0,0,0,
Robert Quinn,6166,ED,CHI,16,3,0,33.3,2,4,6,74,69.9,30.4,79.7,52,59.9,4,25,0,-4,23.1,9,0,6,42.4,1,18,1,2,43,755,735,0,3,728,4,0,20,402,310,17,35,27,3,47,0,-4,0,-4
Ryan Kerrigan,6168,ED,PHI,17,0,0,,0,0,24,74.8,64.7,87.8,61.4,56.6,75.6,1,15,0,,0,0,0,0,0,0,2,2,0,2,364,361,0,9,316,36,0,3,223,139,1,5,4,0,18,0,0,0,
Cameron Jordan,6176,ED,NO,16,9,4,,0,2,20,86.9,84.3,74.4,69.7,87.1,76.1,11,27,0,,5.9,3,0,2,0,0,13,2,0,12,831,829,1,13,780,35,0,2,545,274,0,43,39,0,51,0,0,0,
Jimmy Smith,6179,CB,BLT,10,1,0,52.4,0,0,3,67.1,65.9,84.5,56.2,54.1,50.2,0,0,0,11,22.7,5,2,1,61.6,11,0,24,211,188,293,5,0,0,5,0,36,288,2,103,17,8,16,21,0,0,80,38,7.3
Cameron Heyward,6183,DI,PIT,18,24,8,,0,2,25,67.8,90.8,40.5,83.8,90,79,7,43,1,,3.5,3,0,6,0,0,11,12,0,0,1000,988,68,497,117,306,0,12,605,395,0,47,59,0,61,0,0,0,
