"","yearly_pff_id","pff_position_off"
"260","2016_5619","TE"
"261","2016_7007","QB"
"262","2016_10070","TE"
"263","2016_3778","TE"
"264","2016_4350","WR"
"265","2016_7211","WR"
"266","2016_6615","WR"
"267","2016_10868","T"
"268","2016_5795","TE"
"269","2016_9001","T"
"270","2016_8843","WR"
"271","2016_9875","G"
"272","2016_6167","C"
"273","2016_8775","T"
"274","2016_9552","T"
"275","2016_8733","TE"
"276","2016_5674","G"
"277","2016_7066","TE"
"278","2016_10154","WR"
"279","2016_7428","WR"
"280","2016_8663","WR"
"281","2016_5547","WR"
"282","2016_9486","T"
"283","2016_9447","WR"
"284","2016_7855","WR"
"285","2016_5827","WR"
"286","2016_7910","WR"
"287","2016_9509","WR"
"288","2016_5606","WR"
"289","2016_7092","WR"
"290","2016_2467","QB"
"291","2016_10681","WR"
"292","2016_3011","T"
"293","2016_7952","C"
"294","2016_8688","WR"
"295","2016_7014","QB"
"296","2016_10682","T"
"297","2016_7985","G"
"298","2016_8524","TE"
"299","2016_5549","WR"
"300","2016_6305","WR"
"301","2016_7158","WR"
"302","2016_8810","G"
"303","2016_10774","WR"
"304","2016_4464","T"
"305","2016_6210","WR"
"306","2016_4460","FB"
"307","2016_7019","WR"
"308","2016_9207","TE"
"309","2016_4933","WR"
"310","2016_8288","WR"
"311","2016_4953","WR"
"312","2016_6158","WR"
"313","2016_9518","TE"
"314","2016_1369","WR"
"315","2016_7822","WR"
"316","2016_6944","WR"
"317","2016_6356","TE"
"318","2016_5132","TE"
"319","2016_6997","FB"
"320","2016_7889","G"
"321","2016_10008","WR"
"322","2016_4519","WR"
"323","2016_5126","TE"
"324","2016_5007","WR"
"325","2016_3120","TE"
"326","2016_6256","TE"
"327","2016_7940","TE"
"328","2016_9492","T"
"329","2016_5638","TE"
"330","2016_7982","TE"
"331","2016_4942","WR"
"332","2016_11254","WR"
"333","2016_10715","TE"
"334","2016_7098","C"
"335","2016_6188","QB"
"336","2016_7515","TE"
"337","2016_4946","T"
"338","2016_8655","WR"
"339","2016_7048","WR"
"340","2016_9538","WR"
"341","2016_10746","WR"
"342","2016_5165","TE"
"343","2016_10739","G"
"344","2016_837","WR"
"345","2016_8999","WR"
"346","2016_7859","WR"
"347","2016_7037","WR"
"348","2016_7324","TE"
"349","2016_9462","WR"
"350","2016_9079","WR"
"351","2016_10689","WR"
"352","2016_6216","WR"
"353","2016_5741","T"
"354","2016_7605","TE"
"355","2016_5585","WR"
"356","2016_10998","G"
"357","2016_7784","G"
"358","2016_8674","WR"
"359","2016_8645","TE"
"360","2016_8200","TE"
"361","2016_4331","T"
"362","2016_3625","WR"
"363","2016_8866","T"
"364","2016_7323","QB"
"365","2016_4315","T"
"366","2016_8986","WR"
"367","2016_9662","TE"
"368","2016_10792","T"
"369","2016_9474","WR"
"370","2016_8549","TE"
"371","2016_9627","TE"
"372","2016_10744","TE"
"373","2016_10716","T"
"374","2016_6330","WR"
"375","2016_7789","WR"
"376","2016_7912","FB"
"377","2016_2296","G"
"378","2016_7991","WR"
"379","2016_6156","WR"
"380","2016_7866","TE"
"381","2016_7836","TE"
"382","2016_7703","G"
"383","2016_9878","WR"
"384","2016_9473","WR"
"385","2016_5104","TE"
"386","2016_4472","TE"
"387","2016_4363","WR"
"388","2016_8254","WR"
"389","2016_9579","WR"
"390","2016_9639","FB"
"391","2016_4740","FB"
"392","2016_9719","G"
"393","2016_7330","WR"
"394","2016_8286","TE"
"395","2016_8931","WR"
"396","2016_7788","G"
"397","2016_4929","T"
"398","2016_7128","TE"
"399","2016_9107","FB"
"400","2016_9590","TE"
"401","2016_5390","C"
"402","2016_7802","TE"
"403","2016_9679","TE"
"404","2016_6671","WR"
"405","2016_5567","TE"
"406","2016_6223","HB"
"407","2016_6125","WR"
"408","2016_1609","TE"
"409","2016_8845","FB"
"410","2016_8726","WR"
"411","2016_7978","WR"
"412","2016_9086","WR"
"413","2016_8420","FB"
"414","2016_10017","T"
"415","2016_9673","T"
"416","2016_7880","QB"
"417","2016_9631","TE"
"418","2016_10075","WR"
"419","2016_7117","C"
"420","2016_7038","TE"
"421","2016_8725","WR"
"422","2016_4422","C"
"423","2016_10810","FB"
"424","2016_9541","FB"
"425","2016_4701","TE"
"426","2016_10649","WR"
"427","2016_8680","WR"
"428","2016_8734","TE"
"429","2016_9524","T"
"430","2016_4327","HB"
"431","2016_2973","TE"
"432","2016_2686","FB"
"433","2016_5702","T"
"434","2016_8639","WR"
"435","2016_8772","G"
"436","2016_7146","T"
"437","2016_9303","TE"
"438","2016_5012","TE"
"439","2016_7965","TE"
"440","2016_4441","TE"
"441","2016_9295","HB"
"442","2016_8702","G"
"443","2016_7810","WR"
"444","2016_7572","FB"
"445","2016_9459","WR"
"446","2016_8777","WR"
"447","2016_7998","WR"
"448","2016_4976","HB"
"449","2016_9525","TE"
"450","2016_10782","G"
"451","2016_6281","TE"
"452","2016_6471","G"
"453","2016_10719","WR"
"454","2016_7791","G"
"455","2016_10635","QB"
"456","2016_8943","WR"
"457","2016_7100","WR"
"458","2016_9502","WR"
"459","2016_6489","WR"
"460","2016_5358","WR"
"461","2016_9545","G"
"462","2016_6288","FB"
"463","2016_7513","WR"
"464","2016_10799","WR"
"465","2016_6162","QB"
"466","2016_10833","WR"
"467","2016_9637","TE"
"468","2016_7876","TE"
"469","2016_7828","TE"
"470","2016_11370","G"
"471","2016_10762","C"
"472","2016_7010","T"
"473","2016_8960","G"
"474","2016_9786","TE"
"475","2016_4018","QB"
"476","2016_7472","WR"
"477","2016_10918","WR"
"478","2016_9519","HB"
"479","2016_9302","FB"
"480","2016_7691","G"
"481","2016_9469","HB"
"482","2016_10269","FB"
"483","2016_8705","C"
"484","2016_9002","WR"
"485","2016_10855","G"
"486","2016_10832","FB"
"487","2016_9540","WR"
"488","2016_10638","HB"
"489","2016_10727","QB"
"490","2016_9853","WR"
"491","2016_8831","WR"
"492","2016_9443","HB"
"493","2016_2956","QB"
"494","2016_9592","WR"
"495","2016_9608","WR"
"496","2016_1319","WR"
"497","2016_11335","TE"
"498","2016_7306","FB"
"499","2016_7638","TE"
"500","2016_6237","T"
"501","2016_8211","T"
"502","2016_10144","TE"
"503","2016_9793","WR"
"504","2016_6727","G"
"505","2016_8034","C"
"506","2016_7815","WR"
"507","2016_6432","HB"
"508","2016_5863","HB"
"509","2016_7962","HB"
"510","2016_2282","HB"
"511","2016_4501","C"
"512","2016_9503","WR"
"513","2016_9604","TE"
"514","2016_9950","WR"
"515","2016_7097","HB"
"516","2016_10748","WR"
"517","2016_11288","WR"
"518","2016_7643","T"
"519","2016_7829","HB"
"520","2016_4930","WR"
"521","2016_9025","T"
"522","2016_5277","QB"
"523","2016_9185","TE"
"524","2016_7936","HB"
"525","2016_2278","WR"
"526","2016_6988","TE"
"527","2016_8738","HB"
"528","2016_7008","QB"
"529","2016_9635","TE"
"530","2016_10882","C"
"531","2016_10818","TE"
"532","2016_6139","WR"
"533","2016_8979","C"
"534","2016_10779","T"
"535","2016_6311","TE"
"536","2016_9520","WR"
"537","2016_9582","HB"
"538","2016_8691","WR"
"539","2016_9510","HB"
"540","2016_7416","WR"
"541","2016_9536","QB"
"542","2016_10875","WR"
"543","2016_9601","FB"
"544","2016_8870","WR"
"545","2016_9993","HB"
"546","2016_11094","C"
"547","2016_10247","G"
"548","2016_8914","WR"
"549","2016_9527","HB"
"550","2016_7181","T"
"551","2016_11326","TE"
"552","2016_5611","WR"
"553","2016_10847","WR"
"554","2016_8729","HB"
"555","2016_5612","WR"
"556","2016_8692","HB"
"557","2016_8547","HB"
"558","2016_8090","T"
"559","2016_8673","TE"
"560","2016_11141","WR"
"561","2016_10784","HB"
"562","2016_9292","WR"
"563","2016_10731","G"
"564","2016_7843","HB"
"565","2016_10931","TE"
"566","2016_8128","WR"
"567","2016_8721","WR"
"568","2016_5174","HB"
"569","2016_9653","TE"
"570","2016_10770","HB"
"571","2016_6307","TE"
"572","2016_4356","WR"
"573","2016_2347","HB"
"574","2016_10725","QB"
"575","2016_6266","WR"
"576","2016_7946","HB"
"577","2016_10018","TE"
"578","2016_11246","WR"
"579","2016_7975","HB"
"580","2016_8731","HB"
"581","2016_8765","HB"
"582","2016_9884","TE"
"583","2016_7818","HB"
"584","2016_8839","C"
"585","2016_7138","G"
"586","2016_4398","WR"
"587","2016_9761","HB"
"588","2016_7106","HB"
"589","2016_10806","WR"
"590","2016_6278","HB"
"591","2016_7026","WR"
"592","2016_9606","TE"
"593","2016_10679","HB"
"594","2016_10849","C"
"595","2016_9628","FB"
"596","2016_4717","WR"
"597","2016_10660","QB"
"598","2016_6180","HB"
"599","2016_8873","WR"
"600","2016_10751","WR"
"601","2016_5648","TE"
"602","2016_8268","G"
"603","2016_9448","HB"
"604","2016_9506","HB"
"605","2016_7035","HB"
"606","2016_1085","QB"
"607","2016_7406","TE"
"608","2016_5105","G"
"609","2016_4358","HB"
"610","2016_8697","QB"
"611","2016_7897","QB"
"612","2016_9092","TE"
"613","2016_11035","WR"
"614","2016_9655","C"
"615","2016_10710","T"
"616","2016_10728","TE"
"617","2016_9802","FB"
"618","2016_10741","WR"
"619","2016_10822","TE"
"620","2016_8690","HB"
"621","2016_7980","HB"
"622","2016_6297","HB"
"623","2016_9550","TE"
"624","2016_4467","WR"
"625","2016_11090","HB"
"626","2016_9440","WR"
"627","2016_8704","HB"
"628","2016_10720","WR"
"629","2016_4444","T"
"630","2016_7971","HB"
"631","2016_3659","QB"
"632","2016_8770","QB"
"633","2016_5839","DI"
"634","2016_11369","T"
"635","2016_6440","HB"
"636","2016_4702","FB"
"637","2016_5716","HB"
"638","2016_10831","FB"
"639","2016_9561","G"
"640","2016_7481","WR"
"641","2016_5756","TE"
"642","2016_6328","WR"
"643","2016_10805","HB"
"644","2016_8687","TE"
"645","2016_7858","G"
"646","2016_10840","WR"
"647","2016_4463","HB"
"648","2016_5564","WR"
"649","2016_7118","WR"
"650","2016_5006","WR"
"651","2016_7764","FB"
"652","2016_11082","WR"
"653","2016_10211","TE"
"654","2016_9047","HB"
"655","2016_9248","TE"
"656","2016_7351","WR"
"657","2016_9539","HB"
"658","2016_7089","QB"
"659","2016_2972","HB"
"660","2016_8816","HB"
"661","2016_9914","WR"
"662","2016_11160","TE"
"663","2016_3686","T"
"664","2016_10783","HB"
"665","2016_8101","HB"
"666","2016_7516","WR"
"667","2016_7797","QB"
"668","2016_7657","T"
"669","2016_8759","WR"
"670","2016_7585","HB"
"671","2016_10797","WR"
"672","2016_7943","WR"
"673","2016_4547","HB"
"674","2016_11051","TE"
"675","2016_10960","TE"
"676","2016_6254","TE"
"677","2016_2947","HB"
"678","2016_2447","QB"
"679","2016_10768","HB"
"680","2016_5537","HB"
"681","2016_10772","TE"
"682","2016_6749","QB"
"683","2016_11278","WR"
"684","2016_8283","HB"
"685","2016_8871","T"
"686","2016_10988","HB"
