player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Joe Haden,5532,CB,PIT,15,8,0,59.6,0,1,25,70.9,70.9,87.8,,63.5,46.3,0,0,2,38,18.1,13,9,5,81,56,0,65,843,616,937,5,0,0,5,0,1,932,0,321,23,13,51,94,0,4,540,153,9.6
Tyson Alualu,5535,DI,PIT,15,3,0,,0,0,25,65.3,63.2,84.5,55.9,62.4,65.3,0,10,0,,13.6,3,0,0,0,0,0,4,0,1,311,307,16,155,20,116,0,4,173,137,0,15,16,0,10,0,0,0,
Brandon Graham,5538,ED,PHI,18,10,1,,0,2,24,76.6,88.6,78.1,77.8,81.3,62.5,9,61,0,,10.6,5,0,3,0,0,7,1,0,8,877,874,4,26,766,78,0,3,618,251,0,30,32,0,77,0,0,0,
Earl Thomas III,5539,S,SEA,4,2,0,50,0,0,29,90.6,91.3,13,64,71.5,90.4,0,1,3,22,0,0,1,1,73.6,3,0,38,3,140,237,6,0,0,6,0,166,231,4,93,24,6,21,6,1,1,43,7,14.3
Jason Pierre-Paul,5540,ED,TB,16,8,1,100,3,1,30,68.6,60.1,33,58.3,63.7,39.8,8,25,0,4,19,12,0,8,83.3,1,13,8,0,16,933,925,6,63,772,84,0,8,536,381,0,42,43,1,46,0,4,2,4
Derrick Morgan,5541,ED,TEN,13,4,3,100,0,0,31,62.4,61.2,74.9,60.7,58.3,59,4,18,0,22,10.7,3,0,1,109.2,5,1,100,0,36,532,427,0,10,395,22,0,105,286,210,5,10,21,5,23,0,51,30,10.2
Kareem Jackson,5545,CB,HST,17,10,1,64,0,2,13,74.2,79.2,88.5,64.3,89.9,68.8,0,2,2,30,12.4,12,10,6,77,57,1,117,467,672,1055,8,0,0,8,0,135,1047,15,368,328,34,75,89,3,0,661,262,11.6
Devin McCourty,5552,S,NE,19,10,0,67.3,0,1,19,83.9,80.6,87,48.3,74.5,82.8,1,3,1,27,6.3,5,3,0,110.3,35,0,349,61,802,1184,19,0,0,19,0,610,1165,15,367,144,14,64,52,4,5,351,124,10
Jerry Hughes,5556,ED,BUF,16,8,1,60,1,3,4,58.2,87.9,47.7,90.4,72.3,47.1,12,54,0,17,22.5,9,0,5,78.8,3,8,3,0,28,668,665,0,2,649,14,0,3,397,243,0,26,23,5,74,0,32,6,10.7
Patrick Robinson,5557,CB,NO,3,1,0,85.7,1,0,20,66.1,66.9,79.6,59.1,67.2,56,0,0,0,23,14.3,1,0,2,98.8,6,0,1,5,74,110,1,0,0,1,0,1,109,1,35,102,2,5,7,0,0,54,24,9
Rob Gronkowski,5567,TE,NE,2,0,0,,1,0,19,45.1,44,64.4,,,,0,0,0,,,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Linval Joseph,5571,DI,MIN,15,14,0,,0,1,18,71,72.2,48.1,64.3,73.4,66.9,2,15,0,,5.6,3,0,4,0,0,1,0,0,0,671,670,428,230,0,12,0,1,363,308,0,28,37,0,18,0,0,0,
Carlos Dunlap,5579,ED,CIN,16,5,8,,2,2,7,63.6,78.2,44.9,67.4,86.5,67.4,14,26,0,,7.1,3,0,6,0,0,8,3,0,12,839,834,0,8,790,36,0,5,536,291,2,29,34,0,48,0,0,0,
