player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,7,2,0,85.7,0,0,32,68,54.8,77.5,50.9,40.9,79.3,0,0,0,16,0,0,1,0,93.5,6,0,110,2,69,137,7,0,0,7,0,0,130,5,63,18,1,4,7,0,0,45,19,7.5
Johnathan Joseph,2969,CB,ARZ,11,3,0,63.2,0,0,1,63.1,65.4,84.9,55.7,71.7,47.5,0,0,1,71,11.8,4,5,1,112.6,24,0,25,361,260,423,4,0,0,4,0,2,419,4,159,31,4,27,38,0,4,308,98,12.8
Domata Peko Sr.,3068,DI,ARZ,6,3,0,100,0,0,1,58.9,46.7,83.8,56.8,44.1,56.4,0,2,0,3,14.3,2,0,0,79.2,1,0,1,0,1,177,175,57,117,0,1,0,2,80,96,0,6,9,1,2,0,3,6,3
Tramon Williams,3558,CB,GB,7,3,0,76.5,0,0,12,50.3,52.5,82.5,59.6,64.2,90,1,0,0,20,0,0,1,0,116.3,13,0,5,8,127,182,0,0,0,0,0,1,182,11,44,167,0,15,17,1,1,126,60,9.7
Calais Campbell,4364,DI,BLT,14,6,6,0,0,0,3,65.9,74.7,41.4,73,67.5,43.6,4,18,0,,18.2,6,1,3,39.6,0,3,7,0,9,469,462,40,233,52,137,0,7,323,137,0,25,21,1,25,0,0,0,
Brandon Carr,4454,S,DAL,3,0,0,,0,0,9,49.2,54.4,74.9,,68.7,72.8,0,0,0,,0,0,0,1,0,0,0,9,3,12,21,0,0,0,0,0,7,21,0,9,2,1,1,0,0,0,0,0,
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,54.8,38.9,71.8,60,,,0,0,0,,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,18,11,0,68.9,1,1,20,53.9,64.4,75.5,61.2,83.4,87,5,12,3,74,6.1,7,6,7,89.9,51,3,324,50,645,1155,247,0,0,247,0,365,908,92,418,169,35,96,74,20,4,520,291,10.2
Jason McCourty,5127,CB,NE,16,9,0,63.6,0,0,19,51.8,55.7,86.1,51.8,71.4,86.6,0,0,0,41,2.3,1,3,3,135,21,0,100,401,416,665,6,0,0,6,0,46,659,5,244,112,5,33,33,0,4,319,72,15.2
Steve McLendon,5232,DI,TB,18,10,0,,0,0,30,52.1,67.5,58.7,62.2,71.1,64.4,3,11,0,,5.1,2,0,2,0,0,0,0,0,4,510,510,165,257,1,87,0,0,277,229,0,23,27,0,14,0,0,0,
Ndamukong Suh,5527,DI,TB,20,8,1,100,1,1,30,51.1,62.4,28.8,63.7,68.2,39.7,15,39,0,18,15.7,8,0,9,118.8,2,8,13,0,8,993,978,29,518,64,367,0,15,703,282,0,31,35,2,62,0,27,10,13.5
Joe Haden,5532,CB,PIT,14,6,0,51.5,0,0,25,69.6,66.6,86,,49.1,45.1,0,0,2,54,17.2,10,9,4,81.3,35,0,95,740,523,846,2,0,0,2,0,2,844,0,323,7,11,42,68,0,3,552,119,15.8
Tyson Alualu,5535,DI,PIT,16,14,5,,0,1,25,73.2,86.6,72.2,78.4,78.8,61.9,3,8,0,,4.9,2,0,1,0,0,2,6,0,0,496,490,212,240,5,33,0,6,260,236,0,19,25,0,13,0,0,0,
Brandon Graham,5538,ED,PHI,16,8,0,0,0,2,24,58.4,81.5,57.7,80.8,73.3,29.9,9,39,0,,19.6,9,0,4,39.6,0,8,8,0,12,759,750,0,1,722,27,0,9,429,318,0,28,29,1,56,0,0,0,
